,First Name,Last Name,Team,Start Date,End Date
97,Keith,Millen,Crystal Palace,2013-11-19,2013-11-22
98,Ian,Holloway,Crystal Palace,2013-10-19,2013-10-22
99,Kevin,Ball,Sunderland AFC,2013-10-03,2013-10-06
100,Paolo,Canio,Sunderland AFC,2013-09-18,2013-09-21
101,David,Moyes,Everton FC,2013-06-26,2013-06-29
102,Alex,Fergunson,Manchester United,2013-06-26,2013-06-29
103,Brian,Kidd,Manchester City,2013-06-19,2013-06-22
104,Roberto,Martínez,Wigan Athletic,2013-05-24,2013-05-27
105,Rafael,Benítez,Chelsea FC,2013-05-22,2013-05-25
106,Tony,Pulis,Stoke City,2013-05-17,2013-05-20
107,Roberto,Mancini,Manchester City,2013-05-09,2013-05-12
108,Martin,O'Neill,Sunderland AFC,2013-03-26,2013-03-29
109,Eamonn,Dolan,Reading FC,2013-03-22,2013-03-25
110,Brian,McDermott,Reading FC,2013-03-07,2013-03-10
111,Nigel,Adkins,Southampton FC,2013-01-14,2013-01-17
112,Mark,Hughes,Queens Park Rangers,2012-11-19,2012-11-22
113,Roberto,Matteo,Chelsea FC,2012-11-17,2012-11-20
114,Terry,Connor,Wolverhampton Wanderers,2012-06-26,2012-06-29
115,Harry,Redknapp,Tottenham Hotspur,2012-06-10,2012-06-13
116,Roberto,Matteo,Chelsea FC,2012-06-08,2012-06-11
117,Paul,Lambert,Norwich City,2012-05-28,2012-05-31
118,Brendan,Rodgers,Swansea City,2012-05-27,2012-05-30
119,Kenny,Dalglish,Liverpool FC,2012-05-12,2012-05-15
120,Roy,Hodgson,West Bromwich Albion,2012-05-11,2012-05-14
121,Alex,McLeish,Aston Villa,2012-05-10,2012-05-13
122,André,Villas-Boas,Chelsea FC,2012-02-29,2012-03-03
123,Terry,Connor,Wolverhampton Wanderers,2012-02-19,2012-02-22
124,Mick,McCarthy,Wolverhampton Wanderers,2012-02-09,2012-02-12
125,Neil,Warnock,Queens Park Rangers,2012-01-04,2012-01-07
126,Eric,Black,Sunderland AFC,2011-11-30,2011-12-03
127,Steve,Bruce,Sunderland AFC,2011-11-26,2011-11-29
128,Alex,McLeish,Birmingham City,2011-06-08,2011-06-11
129,Mark,Hughes,Fulham FC,2011-05-29,2011-06-01
130,Gérard,Houllier,Aston Villa,2011-05-28,2011-05-31
131,Kevin,Keen,West Ham United,2011-05-27,2011-05-30
132,Carlo,Ancelotti,Chelsea FC,2011-05-18,2011-05-21
133,Avram,Grant,West Ham United,2011-05-11,2011-05-14
134,Michael,Appleton,West Bromwich Albion,2011-02-06,2011-02-09
135,Roberto,Matteo,West Bromwich Albion,2011-02-02,2011-02-05
136,Roy,Hodgson,Liverpool FC,2011-01-03,2011-01-06
137,Steve,Kean,Blackburn Rovers,2010-12-18,2010-12-21
138,Sam,Allardyce,Blackburn Rovers,2010-12-09,2010-12-12
139,Peter,Beardsley,Newcastle United,2010-12-04,2010-12-07
140,Chris,Hughton,Newcastle United,2010-12-02,2010-12-05
141,Kevin,MacDonald,Aston Villa,2010-09-05,2010-09-08
142,Martin,O'Neill,Aston Villa,2010-08-05,2010-08-08
143,Ray,Lewington,Fulham FC,2010-07-25,2010-07-28
144,Paul,Groves,Portsmouth FC,2010-06-26,2010-06-29
145,Avram,Grant,Fulham FC,2010-06-26,2010-06-29
146,Roy,Hodgson,Hull City,2010-06-26,2010-06-29
147,Iain,Dowie,Portsmouth FC,2010-06-26,2010-06-29
148,Rafael,Benítez,Liverpool FC,2010-05-30,2010-06-02
149,Gianfranco,Zola,West Ham United,2010-05-07,2010-05-10
150,Phil,Brown,Hull City,2010-03-11,2010-03-14
151,Chris,Evans,Bolton Wanderers,2010-01-04,2010-01-07
152,Owen,Coyle,Burnley FC,2010-01-04,2010-01-07
153,Gary,Megson,Bolton Wanderers,2009-12-26,2009-12-29
154,Mark,Hughes,Manchester City,2009-12-15,2009-12-18
155,Paul,Groves,Portsmouth FC,2009-11-22,2009-11-25
156,Paul,Hart,Portsmouth FC,2009-11-20,2009-11-23
157,Steve,Bruce,Newcastle United,2009-06-26,2009-06-29
158,Dave,Galley,Wigan Athletic,2009-06-26,2009-06-29
159,Alan,Shearer,Wigan Athletic,2009-06-26,2009-06-29
160,Guus,Hiddink,Chelsea FC,2009-06-26,2009-06-29
161,Tony,Mowbray,West Bromwich Albion,2009-06-05,2009-06-08
162,Ricky,Sbragia,Sunderland AFC,2009-05-20,2009-05-23
163,Chris,Hughton,Newcastle United,2009-03-28,2009-03-31
164,Colin,Calderwood,Newcastle United,2009-03-28,2009-03-31
