,Links,Status
110,https://www.telegraph.co.uk/sport/football/teams/manchester-city/9265951/Manchester-City-striker-Carlos-Tevez-sparks-controversy-with-RIP-Fergie-banner-at-city-centre-title-celebrations.html,0
111,https://www.independent.co.uk/sport/football/premier-league/alex-ferguson-critical-of-triumphant-manchester-city-for-paying-stupid-money-and-silly-salaries-7746752.html,0
112,https://www.independent.ie/sport/soccer/premier-league/manchester-city-apologise-to-united-for-carlos-tevez-rip-fergie-sign-26853651.html,0
113,https://www.dailymail.co.uk/news/article-2144340/RIP-Fergie-Manchester-City-star-Carlos-Tevez-sparks-controversy-banner-taunting-Sir-Alex-Ferguson.html,0
114,https://www.telegraph.co.uk/sport/football/teams/manchester-united/9264023/Sir-Alex-Ferguson-it-will-take-Manchester-City-100-years-to-match-Manchester-Uniteds-history.html,0
116,https://www.goal.com/en-gb/news/2896/premier-league/2012/05/14/3103371/sir-alex-ferguson-manchester-united-will-not-spend-stupid,0
117,https://edition.cnn.com/2012/05/14/sport/football/football-man-city-epl-celebrations/index.html,0
118,https://www.dailymail.co.uk/sport/football/article-2144706/Sir-Alex-Ferguson-best-Premier-League-manager-Ryan-Giggs-takes-player-award.html,0
119,https://www.bbc.co.uk/sport/football/18080556,0
121,https://www.telegraph.co.uk/sport/football/teams/england/9264849/How-Gary-Neville-went-from-Red-Nev-to-England-insider.html,0
123,https://www.huffingtonpost.co.uk/2012/05/14/roy-hodgson-appoints-gary-neville_n_1514341.html,0
124,https://www.independent.co.uk/sport/football/news-and-comment/sam-wallace-former-manchester-united-defender-red-nev-gary-neville-is-a-rebel-with-a-new-cause-7746738.html,0
125,https://www.independent.co.uk/sport/football/transfers/manchester-united-target-shinji-kagawa-turns-down-new-deal-at-borussia-dortmund-7753373.html,0
127,https://www.ibtimes.co.uk/manchester-united-transfer-lewandowski-hummels-kagawa-340575,0
128,https://www.telegraph.co.uk/sport/football/teams/manchester-city/9264041/Manchester-City-players-paint-the-town-blue-as-Liam-Gallagher-and-Ricky-Hatton-join-title-party.html,0
130,https://www.bbc.co.uk/sport/football/18060653,0
132,https://www.telegraph.co.uk/sport/football/european/9264662/Ruud-van-Nistelrooy-calls-time-on-career-at-age-of-35.html,0
133,https://www.football365.fr/carlos-tevez-fait-scandale-man-city-sexcuse-2526143.html,0
134,https://au.eurosport.com/football/world-cup/2010/chicharito-picked_sto3267829/story.shtml,0
145,https://www.forbes.com/sites/stefanszymanski/2012/05/13/manchester-city-buy-the-premier-league-championship/,0
146,https://www.bbc.co.uk/news/uk-england-manchester-18055225,0
148,https://www.telegraph.co.uk/sport/football/teams/manchester-city/9263637/Vincent-Kompany-hails-Manchester-Citys-crazy-title-triumph-as-a-miracle-which-usually-come-true-for-United.html,0
155,https://www.mirror.co.uk/sport/football/news/manchester-united-new-kit-photos-828896,0
157,https://www.telegraph.co.uk/sport/football/competitions/premier-league/9256947/Manchester-City-v-Queens-Park-Rangers-match-preview.html,0
170,https://www.telegraph.co.uk/sport/football/competitions/premier-league/9257054/Manchester-City-3-Queens-Park-Rangers-2-match-report.html,0
174,https://www.telegraph.co.uk/sport/football/competitions/premier-league/9257087/Sunderland-0-Manchester-United-1-match-report.html,0
175,https://bleacherreport.com/articles/1179467-epl-manchester-city-will-win-title-but-how-will-future-epl-title-races-look,0
177,https://www.telegraph.co.uk/sport/football/teams/manchester-united/9258662/London-2012-Olympics-Ryan-Giggs-given-Team-GB-green-light-by-Manchester-United-manager-Sir-Alex-Ferguson.html,0
179,https://www.bbc.co.uk/sport/football/18031971,0
182,https://bleacherreport.com/articles/1178858-manchester-united-transfers-scouting-report-for-nicolas-gaitan,0
184,https://www.bbc.co.uk/sport/olympics/18019589,0
189,https://www.bbc.co.uk/sport/football/18027092,0
191,https://www.bbc.co.uk/sport/football/18027560,0
193,https://www.telegraph.co.uk/sport/football/teams/manchester-united/9117490/Manchester-United-manager-Sir-Alex-Ferguson-plans-to-bulk-up-David-de-Gea-to-help-him-adjust.html,0
195,https://www.managementtoday.co.uk/q-a-david-gill-ceo-manchester-united/article/1120153,0
196,https://www.dailymail.co.uk/sport/football/article-2109276/Sir-Alex-Ferguson-praises-Michael-Carrick.html,0
197,https://www.express.co.uk/sport/football/305764/Les-Ferdinand-Been-there-got-the-T-shirt,0
199,https://www.dailymail.co.uk/sport/football/article-2109419/Manchester-United-battling-Benfica-Dede-Vasco-da-Gama.html,0
201,https://www.ibtimes.com/manchester-united-transfer-news-berbatov-set-summer-exit-despite-contract-extension-tito-flattered,0
203,https://www.dailymail.co.uk/sport/football/article-2109841/I-owe-career-missed-flight---Friedel-aiming-ground-Uniteds-title-bid.html,0
205,https://www.dailymail.co.uk/sport/football/article-2108438/Chris-Smalling-injury-In-hospital-clashing-heads-Klaas-Jan-Huntelaar-Wembley.html,0
207,https://www.telegraph.co.uk/sport/football/teams/tottenham-hotspur/9115293/Tottenham-striker-Louis-Saha-says-women-pose-biggest-danger-for-young-Premier-League-players.html,0
209,https://bleacherreport.com/articles/1086954-tim-howard-exclusive-team-usa-keeper-talks-italy-klinsmann-everton-and-epl,0
211,https://bleacherreport.com/articles/1088589-arsenal-v-tottenham-and-the-10-fiercest-rivalries-in-the-premier-league,0
213,https://www.bbc.co.uk/programmes/b01c6kk8,0
215,https://bleacherreport.com/articles/1074197-ryan-giggs-reaches-900-games-how-long-can-united-expect-him-to-stick-around,0
216,https://www.sportsmole.co.uk/football/man-utd/news/ferguson-i-would-love-to-have-signed-gascoigne_17246.html,0
217,https://bleacherreport.com/articles/1075911-manchester-uniteds-20-best-strikers-of-all-time,0
219,https://www.emirates247.com/sports/man-utd-discover-their-own-xavi-jesse-lingard-2012-02-20-1.443974,0
221,https://www.fifa.com/news/shouldn-happen-footballer-930321,0
223,https://bleacherreport.com/articles/1071862-arsenal-transfer-rumours-6-latest-midfielders-linked-with-the-gunners,0
225,https://football-talk.co.uk/59739/where-has-it-gone-wrong-comparing-arsenal-2012-to-arsenal-2011/,0
226,https://www.express.co.uk/sport/football/303688/Daniel-Sturridge-demands-to-be-part-of-the-new-Chelsea,0
228,https://www.telegraph.co.uk/sport/football/teams/england/9094681/Englands-Stuart-Pearce-should-take-advantage-of-John-Terrys-injury-and-try-Manchester-Uniteds-young-defenders.html,0
229,https://www.dailymail.co.uk/sport/football/article-2104211/Scott-Dann-rupturing-testicle.html,0
231,https://www.bbc.co.uk/blogs/chrisbevan/2012/02/seedorf_predicts_the_shape_of.html,0
233,https://www.fcupdate.nl/voetbalnieuws/198637/rooney-mist-el-wedstrijd-tegen-ajax/,0
234,https://bola.kompas.com/read/2012/02/21/18161955/Ferguson.Pernah.Didesak.Istri.Jadi.Penjual.Susu,0
235,https://www.bbc.co.uk/sport/football/16996567,0
237,https://bleacherreport.com/articles/1062721-liverpool-luis-suarez-was-well-within-his-rights-to-not-shake-evras-hand,0
238,https://www.telegraph.co.uk/sport/football/teams/manchester-united/9076268/Luis-Suarez-refuses-Patrice-Evras-handshake-as-tensions-boil-over-at-Manchester-Uniteds-match-with-Liverpool.html,0
239,https://www.businessinsider.com/watch-suarez-inflames-racially-charged-situation-sir-alex-wants-suarez-banned-permanently-2012-2,0
240,https://www.express.co.uk/sport/football/301507/Manchester-United-2-Liverpool-1-Wayne-Rooney-s-double-spells-trouble-for-Kop,0
241,https://www.nytimes.com/2012/02/12/sports/soccer/liverpools-luis-suarez-refuses-to-shake-the-hand-of-uniteds-patrice-evra.html,0
242,https://www.telegraph.co.uk/sport/football/teams/manchester-united/9075419/Manchester-United-v-Liverpool-Sir-Alex-Ferguson-and-Kenny-Dalglishs-toxic-rivalry-has-lasted-30-years.html,0
244,https://www.bbc.co.uk/sport/football/16982498,0
246,https://sportige.com/patrick-vieira-presents-the-anti-manchester-city-conspiracy-theory/,0
247,https://www.independent.co.uk/sport/football/international/harry-redknapp-is-the-best-man-for-england-says-alex-ferguson-6699981.html,0
249,https://www.dailymail.co.uk/sport/football/article-2100074/Rio-Ferdinand-praises-Jonny-Evans.html,0
251,https://bleacherreport.com/articles/1061151-top-10-premier-league-tv-pundits,0
253,https://www.telegraph.co.uk/news/uknews/scotland/9071392/Artist-Jack-Vettriano-admits-drink-driving-and-amphetamine-possession.html,0
255,https://www.dailymail.co.uk/sport/football/article-2099210/Nicky-Butt-says-Paul-Scholes-play-years.html,0
257,https://www.ilpost.it/2012/02/11/il-video-del-litigio-tra-suarez-ed-evra/,0
259,https://www.corriere.it/sport/12_febbraio_11/evra-suarez_2612d428-54b1-11e1-b05f-5be01557028e.shtml,0
260,https://www.telegraph.co.uk/sport/football/teams/manchester-city/8999794/Theres-no-such-thing-as-too-much-humiliation-for-Sir-Alex-Fergusons-Manchester-United-writes-a-Man-City-fan.html,0
261,https://bleacherreport.com/articles/1009650-epl-why-sir-alex-ferguson-is-the-longest-serving-manager-in-soccer-history,0
263,https://www.independent.co.uk/sport/football/premier-league/ferguson-willing-to-sell-rooney-during-transfer-window-6286139.html,0
264,https://www.thenational.ae/sport/the-player-who-proved-the-great-bill-shankly-was-wrong-1.393124,0
265,https://www.express.co.uk/sport/football/293879/Mark-Bosnich-blasts-Sir-Alex-Ferguson,0
266,https://www.independent.co.uk/sport/football/premier-league/alan-pardew-hails-demba-ba-after-devastating-performance-6285218.html,0
268,https://www.iol.co.za/sport/soccer/premier-league/fergie-not-panicking-after-rout-1208196,0
269,https://www.deccanherald.com/content/216993/man-u-suffer-another-loss.html,0
270,https://www.mirror.co.uk/news/uk-news/picture-of-wayne-rooney-night-out-157488,0
272,https://www.bbc.co.uk/sport/football/16343415,0
274,https://www.dailymail.co.uk/sport/football/article-2082399/Roberto-Mancini-interview-Martin-Samuel.html,0
276,https://www.dailymail.co.uk/sport/football/article-2082043/Everton-eye-United-outcast-Darron-Gibson.html,0
278,https://www.marca.com/2012/01/06/futbol/equipos/barcelona/1325840733.html,0
280,https://www.dagbladet.no/sport/to-drommemal-og-en-komisk-broler-ydmyket-manchester-u/63464097,0
282,https://www.focus.de/sport/fussball/fussball-0-3-manchester-united-verliert-kontakt-zur-spitze_aid_699543.html,0
283,https://kralspor.ensonhaber.com/manchester-united-lampardi-istiyor-2012-01-06.html,0
285,https://bleacherreport.com/articles/963109-10-reasons-why-manchester-united-is-rated-as-the-best-team-in-the-league,0
286,https://www.bbc.co.uk/sport/football/15901811,0
288,https://www.telegraph.co.uk/sport/football/competitions/league-cup/8925661/Crystal-Palace-stun-Manchester-United-with-2-1-victory-after-extra-time-in-Carling-Cup-quarter-final.html,0
290,https://www.belfasttelegraph.co.uk/sport/football/premier-league/darron-gibson-to-pay-price-of-manchester-uniteds-shocker-28687086.html,0
291,https://www.telegraph.co.uk/sport/football/teams/manchester-united/8932428/Manchester-Uniteds-Sir-Alex-Ferguson-insists-fans-intolerance-led-to-Steve-Bruce-dismissal.html,0
293,https://www.bbc.co.uk/sport/football/16001953,0
294,https://www.dailymail.co.uk/sport/football/article-2068999/Manchester-United-offer-Ryan-Giggs-new-contract.html,0
295,https://bleacherreport.com/articles/963854-epl-10-of-the-funniest-moments-in-league-history,0
296,https://www.dailymail.co.uk/sport/football/article-2069388/Yaya-Toure-If-Manchester-City-win-Premier-League-I-crazy.html,0
298,https://bleacherreport.com/articles/958045-liverpool-the-case-for-and-against-sir-bob-paisley-an-anfield-great,0
299,https://www.dailymail.co.uk/sport/boxing/article-2069163/Muhammad-Ali-taken-hospital-falling-unconscious-home.html,0
301,https://www.dailymail.co.uk/sport/football/article-2066693/You-cost-title-Sir-Alex-Ferguson-groans-linesman.html,0
303,https://www.bbc.co.uk/sport/football/15802636,0
