,Links,Status
0,https://www.liverpoolecho.co.uk/sport/football/football-news/liverpools-major-transfer-gamble-man-16498055,0
2,https://www.thesun.co.uk/sport/football/9384503/liverpool-sepp-van-den-berg-transfer-bayern/,0
3,https://www.liverpoolecho.co.uk/sport/football/football-news/jurgen-klopp-questions-five-liverpool-16506747,0
5,https://www.mirror.co.uk/sport/football/transfer-news/5-liverpool-wonderkids-ready-break-17276495,0
6,https://www.90min.com/posts/6401144-fabinho-reveals-the-player-who-jurgen-klopp-views-as-irreplaceable-at-liverpool,0
7,https://lastwordonfootball.com/2019/06/29/jurgen-klopp-liverpool/,0
8,https://www.planetfootball.com/quizzes/can-you-name-every-player-jurgen-klopp-has-signed-for-liverpool/,0
9,https://www.liverpoolecho.co.uk/sport/football/football-news/liverpool-klopp-edwards-transfer-gamble-16489799,0
11,https://www.givemesport.com/1485663-jurgen-klopp-to-liverpool-players-after-barca-defeat-what-an-amazing-game-you-played,0
12,https://www.forbes.com/sites/jamesnalton/2019/06/29/jurgen-klopp-jordan-henderson-liverpool-captain-champions-league-final/,0
14,https://www.express.co.uk/sport/football/1145677/Liverpool-Jurgen-Klopp-snubbed-Real-Madrid-transfer-Marcos-Llorente-latest-news-gossip,0
16,https://www.liverpoolfc.com/news/first-team/354956-steven-gerrard-reveals-inspiration-from-liverpool-champions-league-win,0
18,https://www.bbc.co.uk/sport/av/tennis/48786835,0
20,https://www.liverpoolecho.co.uk/sport/football/football-news/fabinho-explains-roberto-firminos-brazil-16506791,0
22,https://www.hartlepoolmail.co.uk/sport/football/hartlepool-united-manager-craig-hignett-wants-take-jurgen-klopps-liverpool-pre-season-355244,0
24,https://www.thetimes.co.uk/article/liverpool-can-lay-claim-to-title-of-the-worlds-biggest-club-mpfsbdntq,0
52,https://www.theguardian.com/football/2019/may/11/jurgen-klopp-liverpool-achievements-exceeded-expectations,0
54,https://www.straitstimes.com/sport/football/football-jurgen-klopp-fires-up-liverpool-with-its-only-pain-motto-pep-guardiola-urges,0
55,https://liverpooloffside.sbnation.com/liverpool-fc-tactics-longform/2019/5/11/18564057/liverpool-jurgen-klopp-perfect-fit-champions-league-dortmund-mainz-epl-success-trophies,0
56,https://www.thenational.ae/sport/football/jurgen-klopp-couldn-t-be-more-proud-after-liverpool-fall-agonisingly-short-of-premier-league-title-1.860594,0
57,https://www.bbc.co.uk/sport/football/48226050,0
58,https://www.sport24.co.za/Soccer/EnglishPremiership/klopp-liverpool-did-all-we-could-in-premier-league-race-20190512,0
59,https://www.manchestereveningnews.co.uk/sport/football/football-news/liverpool-press-conference-klopp-news-16254511,0
61,https://www.telegraph.co.uk/football/2019/05/11/jurgen-klopp-fan-pascal-gross-says-liverpool-deserve-trophy/,0
62,https://metro.co.uk/2019/05/10/liverpool-jurgen-klopp-reveals-reaction-tottenhams-incredible-comeback-ajax-champions-league-9485504/,0
64,https://www.theguardian.com/football/2019/may/10/jurgen-klopp-liverpool-pain-title-race,0
66,https://www.liverpoolfc.com/news/first-team/350093-jurgen-klopp-reaction-liverpool-wolves,0
67,https://www.bbc.co.uk/sport/football/48247523,0
68,https://www.bbc.co.uk/sport/football/48230027,0
70,https://sportstar.thehindu.com/football/champions-league/klopp-liverpools-champions-league-comeback-worth-more-than-trophies/article27101354.ece,0
71,https://www.independent.ie/sport/soccer/premier-league/liverpool/jurgen-klopp-tears-into-irresponsible-uefa-over-spiralling-champions-league-final-costs-for-fans-38099444.html,0
72,https://www.independent.co.uk/sport/football/european/liverpool-fc-jurgen-klopp-champions-league-nations-league-england-fixtures-dates-tottenham-a8908116.html,0
73,https://www.thisisanfield.com/2019/05/liverpool-set-to-reward-divock-origi-for-incredible-revival-under-jurgen-klopp/,0
75,https://www.101greatgoals.com/news/lovren-reveals-what-jurgen-klopp-said-to-liverpool-players-ahead-of-barca/,0
76,https://www.thesun.co.uk/sport/football/9051456/jurgen-klopp-liverpool-barcelona-trophy/,0
78,https://www.foxsports.com.au/football/premier-league/brightons-pascal-gross-vows-to-help-jurgen-klopp-end-liverpools-29year-title-wait/news-story/57978f091226d9c3a137a4781aed0d6b,0
79,https://www.liverpoolecho.co.uk/sport/football/football-news/jurgen-klopp-should-manager-year-16258841,0
80,https://www.telegraph.co.uk/football/2019/05/10/jurgen-klopp-magical-moments-like-barcelona-win-worth-trophies/,0
82,https://www.thisisanfield.com/2019/05/its-only-pain-jurgen-klopp-provides-positive-injury-update-ahead-of-final-league-game/,0
83,https://www.irishmirror.ie/sport/soccer/soccer-news/jurgen-klopp-sends-message-liverpool-15025423,0
84,https://www.manchestereveningnews.co.uk/sport/football/football-news/liverpool-man-city-injury-news-16254946,0
85,https://www.liverpoolfc.com/news/first-team/349870-klopp-liverpool-attitude-pain-barcelona-wolves,0
87,https://www.90min.com/posts/6364367-jurgen-klopp-set-for-huge-contract-extension-as-juventus-put-liverpool-boss-top-of-wishlist,0
88,https://www.calciomercato.com/en/news/exclusive-juve-s-klopp-temptations-revealed-but-millionaire-rene-41852,0
89,https://www.liverpoolecho.co.uk/sport/football/football-news/klopp-bumper-new-contract-recap-16244635,0
90,https://www.thesun.co.uk/sport/football/9047781/benitez-klopp-liverpool-comeback-istanbul-better/,0
92,https://inews.co.uk/sport/football/champions-league/liverpool-news-rafa-benitez-istanbul-2005-final-jurgen-klopp-barcelona-502216,0
93,https://www.liverpoolfc.com/news/first-team/343181-jurgen-klopp-liverpool-run-in-interview,0
95,https://www.liverpoolecho.co.uk/sport/football/football-news/naby-keita-liverpool-injury-latest-16033230,0
96,https://www.thesouthafrican.com/sport/soccer/epl/liverpool-news-klopp-excited-at-the-prospect-of-season-climax/,0
97,https://www.liverpoolfc.com/news/media-watch/342986-liverpool-stars-set-to-return-in-injury-boost-for-title-chasing-jurgen-klopp,0
99,https://www.theedgemarkets.com/article/coffee-break-why-malaysian-ceos-need-be-more-jurgen-klopp,0
100,https://www.mirror.co.uk/sport/football/virgil-van-dijk-reveals-how-14179316,0
101,https://www.dailymail.co.uk/sport/football/article-6846821/Liverpool-boss-Jurgen-Klopp-arrives-UK-Dubai-holiday.html,0
102,https://www.liverpoolecho.co.uk/sport/football/football-news/how-liverpool-boss-jurgen-klopp-16022624,0
104,https://www.irishmirror.ie/sport/soccer/soccer-news/jurgen-klopp-explains-dropped-naby-14182093,0
105,https://www.mirror.co.uk/sport/football/news/what-jurgen-klopp-said-naby-14181828,0
106,https://www.dailystar.co.uk/sport/football/liverpool-naby-keita-transfer-jurgen-18869279,0
107,https://www.liverpoolfc.com/news/first-team/343151-jurgen-klopp-joe-gomez-alex-oxlade-chamberlain-mohamed-salah,0
109,https://www.thisisanfield.com/2019/03/jurgen-klopp-gives-injury-update-on-xherdan-shaqiri-trent-alexander-arnold/,0
110,https://metro.co.uk/2019/03/27/jurgen-klopp-provides-joe-gomez-alex-oxlade-chamberlain-mo-salah-injury-updates-9034355/,0
111,https://www.teamtalk.com/news/great-news-for-liverpool-as-klopp-confirms-return-of-key-star-to-training,0
112,https://bleacherreport.com/articles/2828104-mohamed-salah-break-really-important-for-liverpool-says-jurgen-klopp,0
114,https://www.arabnews.com/node/1473461/sport,0
115,https://www.thisisanfield.com/2019/03/should-jurgen-klopp-take-a-gamble-on-the-returning-joe-gomez/,0
