,Links,Status
0,https://bleacherreport.com/articles/2574832-sir-alex-ferguson-clarifies-comments-on-his-manchester-united-world-class-list?is_shared=true,0
2,https://sports.yahoo.com/news/alex-ferguson-coach-david-beckham-charity-match-105344159--sow.html,0
3,https://www.irishmirror.ie/sport/soccer/soccer-news/david-beckham-sir-alex-ferguson-6558555,0
4,https://www.manchestereveningnews.co.uk/sport/football/football-news/manchester-united-great-sir-alex-10177907,0
5,https://www.independent.co.uk/sport/football/premier-league/manchester-united-legend-sir-alex-ferguson-to-manage-david-beckham-again-in-old-trafford-charity-a6676386.html,0
6,https://www.sportskeeda.com/football/epl-head-to-head-arsenal-v-manchester-united,0
8,https://bleacherreport.com/articles/2574781-ranking-the-top-4-forwards-to-have-played-for-arsenal-and-manchester-united,0
9,https://www.theguardian.com/sport/2015/oct/02/manchester-united-rivals-premier-league,0
10,https://www.express.co.uk/sport/football/609440/Arsene-Wenger-delivers-verdict-Louis-van-Gaal-reign-title-race,0
11,https://www.telegraph.co.uk/sport/football/teams/manchester-united/11899836/Anthony-Martials-success-at-Manchester-United-proves-Arsene-Wenger-is-stuck-in-the-past.html,0
13,https://www.express.co.uk/sport/football/609076/Manchester-United-Wolsfburg-Bastian-Schweinsteiger-Champions-League-preview,0
14,https://www.dailymail.co.uk/sport/football/article-3257432/Anthony-Martial-suffer-dip-form-sensational-start-Manchester-United-warns-France-coach-Didier-Deschamps.html,0
16,https://www.mirror.co.uk/sport/football/news/manchester-united-fan-covers-whole-6555948,0
18,https://metro.co.uk/2015/10/03/sevilla-line-up-free-transfer-of-manchester-united-goalkeeper-victor-valdes-reports-5419329/,0
20,https://metro.co.uk/2015/10/01/juan-mata-snubs-his-current-manchester-united-team-mates-in-his-ultimate-xi-5416630/,0
22,https://bleacherreport.com/articles/2574803-david-beckham-talks-cristiano-ronaldo-ryan-giggs-manchester-united-and-more,0
24,https://www.telegraph.co.uk/sport/football/players/cristiano-ronaldo/11904720/13-times-Cristiano-Ronaldo-proved-hes-as-awesome-as-he-thinks-he-is.html,0
25,https://www.goal.com/en-my/news/3890/england/2015/10/03/15966372/revisited-when-steve-mcclaren-first-beat-man-city-as-man-utd,0
54,https://www.joe.co.uk/sport/jonny-evans-tony-pulis-reminds-me-of-sir-alex-ferguson-video-17941,0
56,https://metro.co.uk/2015/06/26/west-ham-confirm-deal-for-france-international-dimitri-payet-5267816/,0
58,https://www.dailymail.co.uk/sport/football/article-3143046/Manchester-United-transfers-best-worst-Premier-League-signings-Cristiano-Ronaldo-Wayne-Rooney-great-value-Radamel-Falcao-flops.html,0
60,https://www.express.co.uk/sport/football/587124/Stewart-Downing-West-Ham-exit-Sunderland-pounce,0
62,https://bleacherreport.com/articles/2508363-why-carlos-tevez-should-have-stayed-at-juventus-for-another-season,0
64,https://www.joe.co.uk/sport/sergio-ramos-the-st-house-to-inspire-man-uniteds-title-challenge-6706,0
66,https://www.express.co.uk/sport/football/587192/Manchester-United-Transfer-News-35million-David-De-Gea-Bid-Real-Madrid,0
67,https://www.manchestereveningnews.co.uk/sport/football/football-news/manchester-united-legend-roy-keane-9547469,0
69,https://www.dailymail.co.uk/sport/football/article-3143594/Manchester-United-defender-Phil-Jones-signs-new-four-year-deal-Old-Trafford.html,0
71,https://www.dailymail.co.uk/sport/football/article-3141712/Steve-Bruce-m-surprised-haven-t-got-sack-Hull-City-boss-admits-feared-job-confident-bounce-back.html,0
73,https://www.express.co.uk/sport/football/587393/Chelsea-Loic-Remy-replacement-bargain-Newcastle-target-Aleksandar-Mitrovic,0
94,https://www.express.co.uk/sport/football/582411/Barcelona-Gerard-Pique-Sir-Alex-Ferguson-stay-Manchester-United,0
96,https://www.sportsjoe.ie/football/gerard-pique-has-paid-alex-ferguson-a-wonderful-compliment-from-his-time-at-manchester-united-27512,0
97,https://www.dailymail.co.uk/sport/football/article-3113323/Paul-Pogba-Gerard-Pique-upsetting-losses-Manchester-United-admits-Brian-McClair.html,0
98,https://metro.co.uk/2015/06/05/manchester-united-should-make-manuel-neuer-top-transfer-target-if-david-de-gea-is-sold-this-summer-5232408/,0
100,https://metro.co.uk/2015/06/07/manchester-united-will-spend-200m-on-transfers-this-summer-says-robin-van-persie-5234219/,0
102,https://www.dailystar.co.uk/sport/football/man-utd-transfer-news-gossip-17364728,0
103,https://www.dailymail.co.uk/sport/football/article-3115010/Transfer-News-LIVE-Manchester-United-Arsenal-Liverpool-latest-plus-rest-Premier-League-Europe.html,0
104,https://metro.co.uk/2015/06/08/manchester-united-make-transfer-enquiry-about-internazionales-samir-handanovic-5235375/,0
106,https://metro.co.uk/2015/06/07/manchester-united-receive-transfer-enquiry-for-victor-valdes-from-valencia-5234674/,0
108,https://metro.co.uk/2015/06/06/manchester-united-make-bayern-munichs-bastian-schweinsteiger-their-number-one-transfer-target-5232905/,0
110,https://metro.co.uk/2015/06/08/manchester-city-line-up-loan-transfer-of-new-york-city-striker-david-villa-5234876/,0
112,https://www.express.co.uk/sport/football/582875/Man-Utd-Liverpool-David-De-Gea-Real-Madrid-Rafa-Benitez-Transfer-Gossip,0
114,https://www.irishmirror.ie/sport/soccer/soccer-news/gary-pallister-reveals-roy-keane-5828233,0
116,https://www.itv.com/news/2015-06-05/gary-pallister-recalls-feud-with-former-man-united-captain-roy-keane/,0
117,https://www.telegraph.co.uk/sport/football/teams/manchester-united/11656467/Man-Utd-transfer-news-and-rumours-Jurgen-Klopp-keen-to-manage-Old-Trafford-side.html,0
119,https://www.dailymail.co.uk/news/article-3081296/Sir-Alex-Ferguson-joined-ex-Manchester-United-stars-funeral-Rio-Ferdinand-s-wife.html,0
121,https://www.independent.ie/sport/soccer/alex-ferguson-and-manchester-united-stars-join-family-of-rio-ferdinand-at-private-funeral-for-his-late-wife-rebecca-ellison-31221833.html,0
122,https://asia.eurosport.com/football/premier-league/2012-2013/manchester-united-stars-flock-to-funeral-of-rio-ferdinand-s-wife-rebecca_sto4726944/story.shtml,0
123,https://www.mirror.co.uk/3am/celebrity-news/manchester-united-stars-pay-tribute-5694686,0
124,https://www.express.co.uk/news/uk/577342/Manchester-United-Rio-Ferdinand-Rebecca-Sir-Alex-Ferguson,0
125,https://www.telegraph.co.uk/sport/football/players/robin-van-persie/11608982/Robin-van-Persie-is-unloved-injury-hit-and-second-choice-at-Manchester-United.html,0
